max_number,min_number,average_number,max_length,min_length,average_length
120452321129188,0,2911084310774,87,1,14
120452321136188,0,5752869862973,88,2,15
120452321143188,0,5993897937744,87,2,15
120452321150188,0,5619084517973,88,2,15
120452321157188,0,5619131029948,88,2,15
120452321157188,0,14171361818678,88,2,14
120452411315714,0,11471750565214,87,2,14
120488476238072,0,11753686283949,88,2,15
120452411315714,0,14171372540853,88,2,14
120462411231026,0,11472827124017,87,2,14
120462411231026,0,14172549010300,88,2,14
120463411238026,0,11472797982642,88,2,14
120463411245026,0,5619646940982,88,2,15
120463718452736,0,11472827241185,88,2,14
120465101764139,0,11485463931618,88,2,14
120465101771139,0,5753542663969,88,2,15
120465101778139,0,5619762602353,88,2,15
120465187573656,0,11472967157456,88,2,14
120465328439885,0,11472980658131,88,2,14
120470143881622,0,11473439186781,88,2,14
120470143888622,0,5894144223366,88,2,15
120470143895622,0,5894586087193,88,2,15
120470143895622,0,14173459234343,88,2,14
120476746892238,0,11474446149183,88,2,14
120476746899238,0,5754137136214,88,2,15
120479904967189,0,11474392653697,87,2,14
120479904967189,0,14174607792164,88,2,14
120479907015469,0,2877161494139,87,1,14
120502835548718,0,11476554040131,88,2,14
120502835555718,0,5895804292570,88,2,15
120502835562718,0,5621627002063,88,2,15
120502835562718,0,14177305812210,88,2,14
120502835562718,0,14177305818680,88,2,14
120502835569718,0,5622019932824,87,2,15
120503856897118,0,11476650034975,88,2,14
120505755933145,0,11476839938471,88,2,14
120506494088228,0,11476908669165,88,2,14
120506494088228,0,14177736521666,88,2,14
120506494088228,0,14177736545194,88,2,14
120506494095228,0,5622126096566,88,2,15
120506494095228,0,14177736605427,88,2,14
120506494095228,0,14177736617780,88,2,14
120506934719011,0,11476943160856,87,2,14
120507071736991,0,11476956315818,88,2,14
120507543747045,0,11477096692965,88,2,14
120507702739045,0,11477016220772,88,2,14
120507702739045,0,14177878991749,88,2,14
120508202646045,0,11477065708562,88,2,14
120508202653045,0,5622207889947,88,2,15
120508202660045,0,5896464500989,88,2,15
120508618888428,0,11477103473083,88,2,14
120508618888428,0,14177987048723,88,2,14
120508618888428,0,14177987055782,87,2,14
120516633543807,0,11499001126545,88,2,14
120516633550807,0,5896895283001,88,2,15
120516736852286,0,11477876612493,88,2,14
155486304469063,0,14808321147424,87,2,14
155486304476063,0,7421706299845,87,2,15
155486304483063,0,7602818673968,88,2,15
155486304490063,0,7421716677324,88,2,15
155486304497063,0,7421732210574,88,2,15
155490415741369,0,14808703363820,88,2,14
155490415741369,0,18293493140221,88,2,14
155490415741369,0,18293493163161,88,2,14
155492915648369,0,14808945148304,88,2,14
155493804691960,0,14809025930536,87,2,14
155493804691960,0,18293891962049,88,2,14
155493804698960,0,7249501749954,88,2,15
155494298609332,0,14809083474492,87,2,14
155494377975113,0,14809080528926,88,2,14
155494380023393,0,3711088017343,88,1,14
155494377975113,0,18293959524178,88,2,14
155497558669935,0,14809383452238,88,2,14
155497558676935,0,7422316445734,88,2,15
155497558676935,0,18294333880266,88,2,14
155497558676935,0,18294333974967,88,2,14
155497558676935,0,18294333987320,88,2,14
155500072470620,0,14809623052296,88,2,14
155500074518900,0,3711348328279,88,1,14
155500305385608,0,14809645238412,87,2,14
155500305385608,0,18294657272452,88,2,14
155500307433888,0,3755976446791,88,1,14
155500307433888,0,18294657742827,88,2,14
155500307433888,0,18294657748710,88,2,14
155738572868574,0,14835857340082,87,2,14
155738572875574,0,7261002614129,88,2,15
155738572882574,0,7260875931610,88,2,15
155738695299476,0,14832349992102,88,2,14
155738942950373,0,14832425647344,87,2,14
155738942950373,0,18322732636525,88,2,14
155743676679496,0,14832977696907,88,2,14
155743678727776,0,3761799334604,88,1,14
155743678734776,0,7260666113665,88,2,15
155743678741776,0,7614854778076,88,2,15
155745190284178,0,14832967609682,88,2,14
155745190291178,0,7715616783862,88,2,15
155745819869032,0,14833028327828,87,2,14
155745819869032,0,18323541954585,88,2,14
155746232335356,0,14833066848902,88,2,14
155746232342356,0,7433668207700,88,2,15
155749635703129,0,14833390873533,88,2,14
155749635703129,0,18323991027409,88,2,14
155749635710129,0,7260938406025,88,2,15
155749635710129,0,18323991136462,88,2,14
155751010704491,0,14845274317055,88,2,14
155751381178411,0,14833557024418,87,2,14
155753003107029,0,14834660302380,87,2,14
155754884850471,0,14833890897942,88,2,14
155754884857471,0,7261185668682,87,2,15
