max_number,min_number,average_number,max_length,min_length,average_length,time,fee,sender
118625984647254,0,11303551957247,88,2,14,1701552384,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118629210186891,0,11298252810034,88,2,14,1701552371,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118629210186891,0,13956860848926,88,2,14,1701552353,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118629210186891,0,13956860870102,88,2,14,1701552349,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118787756093891,0,11313212159622,88,2,14,1701552328,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118833319246242,0,11331919929910,87,2,14,1701552326,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118833319246242,0,13980873885313,88,2,14,1701552319,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118833319253242,0,5670944570218,88,2,15,1701552306,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118833321301522,0,2869652554056,88,1,14,1701552296,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118833321301522,0,13980874212989,88,2,14,1701552296,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118840601589777,0,11322113125629,87,2,14,1701552292,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118840601596777,0,5809687146765,87,2,15,1701552280,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118840601603777,0,5671370407852,88,2,15,1701552268,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118840601610777,0,5539566445248,88,2,15,1701552258,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118840601617777,0,5539566910645,88,2,15,1701552248,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118843539561721,0,11318524684572,88,2,14,1701552245,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118843539568721,0,5810604525462,87,2,15,1701552236,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118843633820296,0,11318616123973,88,2,14,1701552230,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118843633820296,0,13982087789888,88,2,14,1701552221,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118844333727296,0,11318600125163,87,2,14,1701552191,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118844667397904,0,11318654073770,88,2,14,1701552183,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118844667404904,0,5671948441000,88,2,15,1701552149,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118844747382497,0,11318639711363,88,2,14,1701552130,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118852305431764,0,11319359525577,88,2,14,1701552116,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118856908007327,0,11320519335115,88,2,14,1701552106,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118856908007327,0,13983649827749,88,2,14,1701552087,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118856908007327,0,13983649895391,88,2,14,1701552059,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118857407914327,0,11323474094012,88,2,14,1701552033,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118859346846160,0,11320030136458,88,2,14,1701552028,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
